"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1094","Dropdown Handling with multi-select","chromium","Wed Feb 04 22:06:12 IST 2026","passed","Wed Feb 04 22:06:13 IST 2026","","12_dropdown.spec.js","",""
"","10778","Playwright Screenshots Demo","chromium","Wed Feb 04 22:06:40 IST 2026","failed","Wed Feb 04 22:06:51 IST 2026","","16_screenshots.spec.js","",""
"","16195","test","chromium","Wed Feb 04 22:05:48 IST 2026","passed","Wed Feb 04 22:06:04 IST 2026","","10_codegen.spec.js","",""
"","4879","TC001 - JS Alert with Ok button","chromium","Wed Feb 04 22:06:13 IST 2026","passed","Wed Feb 04 22:06:18 IST 2026","","13_alerts_handling.spec.js","",""
"","35099","test","chromium","Wed Feb 04 22:05:56 IST 2026","broken","Wed Feb 04 22:06:31 IST 2026","","11_codgen2.spec.js","",""
"","5220","TC003 - JS Alert with prompt, ok and cancel","chromium","Wed Feb 04 22:06:24 IST 2026","passed","Wed Feb 04 22:06:29 IST 2026","","13_alerts_handling.spec.js","",""
"","6411","TC002 - JS Alert with OK and Cancel buttons","chromium","Wed Feb 04 22:06:18 IST 2026","passed","Wed Feb 04 22:06:24 IST 2026","","13_alerts_handling.spec.js","",""
"","6905","TC001- Open Google url","chromium","Wed Feb 04 22:05:48 IST 2026","passed","Wed Feb 04 22:05:55 IST 2026","","1_open_browser.spec.js","",""
"","12239","Playwright assertions","chromium","Wed Feb 04 22:06:33 IST 2026","passed","Wed Feb 04 22:06:46 IST 2026","","15_assertions.spec.js","",""
"","6764","Dropdown Handling with single select","chromium","Wed Feb 04 22:06:05 IST 2026","passed","Wed Feb 04 22:06:12 IST 2026","","12_dropdown.spec.js","",""
"","3848","Open New Window Tab (side)","chromium","Wed Feb 04 22:06:30 IST 2026","passed","Wed Feb 04 22:06:33 IST 2026","","14_windows.spec.js","",""
